inputs,prediction,expected_output,score,cost
"Write a python function to count the number of rotations required to generate a sorted array. https://www.geeksforgeeks.org/count-of-rotations-required-to-generate-a-sorted-array/

def count_rotation(arr):   ","def count_rotation(arr):
    n = len(arr)
    for i in range(1, n):
        if arr[i] < arr[i - 1]:
            return i
    return 0","The solution passed all test cases.
Correct Solution:def count_rotation(arr):   
    for i in range (1,len(arr)): 
        if (arr[i] < arr[i - 1]): 
            return i  
    return 0",1.0,0.0
"Write a function to multiply two integers.

def multiply_int(x, y):","def multiply_int(x, y):
    return x * y","The solution passed all test cases.
Correct Solution:def multiply_int(x, y):
    if y < 0:
        return -multiply_int(x, -y)
    elif y == 0:
        return 0
    elif y == 1:
        return x
    else:
        return x + multiply_int(x, y - 1)",1.0,0.0
"Write a function to convert a given string to a tuple of characters.

def string_to_tuple(str1):","def string_to_tuple(str1):
    return tuple(str1.replace(' ', ''))
def check():
    assert string_to_tuple('python 3.0') == ('p', 'y', 't', 'h', 'o', 'n', '3', '.', '0')","The solution passed all test cases.
Correct Solution:def string_to_tuple(str1):
    result = tuple(x for x in str1 if not x.isspace()) 
    return result",1.0,0.0
"Write a python function to check whether the given number can be represented as the difference of two squares or not.

def dif_Square(n): ","def dif_Square(n):
    for i in range(n + 1):
        for j in range(i + 1):
            if i * i - j * j == n:
                return True
    return False","The solution passed all test cases.
Correct Solution:def dif_Square(n): 
    if (n % 4 != 2): 
        return True
    return False",1.0,0.0
"Write a function to locate the left insertion point for a specified value in sorted order. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-data-structure-exercise-24.php
import bisect
def left_insertion(a, x):","import bisect
def left_insertion(a, x):
    return bisect.bisect_left(a, x)","The solution passed all test cases.
Correct Solution:import bisect
def left_insertion(a, x):
    i = bisect.bisect_left(a, x)
    return i",1.0,0.0
"Write a python function to find the length of the longest sublists.

def Find_Max_Length(lst):  ","def Find_Max_Length(lst):
    if not lst:
        return 0
    max_len = max((len(sublist) for sublist in lst))
    return max_len","The solution passed all test cases.
Correct Solution:def Find_Max_Length(lst):  
    maxLength = max(len(x) for x in lst )
    return maxLength ",1.0,0.0
"Write a python function takes in an integer and check whether the frequency of each digit in the integer is less than or equal to the digit itself.

def validate(n): ","def validate(n):
    from collections import Counter
    if n < 0:
        return False
    digits = str(n)
    freq = Counter(digits)
    for (digit, count) in freq.items():
        if int(digit) < count:
            return False
    return True","The solution passed all test cases.
Correct Solution:def validate(n): 
    for i in range(10): 
        temp = n;  
        count = 0; 
        while (temp): 
            if (temp % 10 == i): 
                count+=1;  
            if (count > i): 
                return False
            temp //= 10; 
    return True",1.0,0.0
"Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).

def sequential_search(dlist, item):","def sequential_search(dlist, item):
    for (index, value) in enumerate(dlist):
        if value == item:
            return (True, index)
    return (False, -1)","The solution passed all test cases.
Correct Solution:def sequential_search(dlist, item):
    pos = 0
    found = False
    while pos < len(dlist) and not found:
        if dlist[pos] == item:
            found = True
        else:
            pos = pos + 1
    return found, pos",1.0,0.0
"Write a function to return the sum of all divisors of a number.

def sum_div(number):","def sum_div(number):
    if number <= 0:
        return 0
    total = 0
    i = 1
    while i * i <= number:
        if number % i == 0:
            total += i
            if i != number // i:
                total += number // i
        i += 1
    return total - number","The solution passed all test cases.
Correct Solution:def sum_div(number):
    divisors = [1]
    for i in range(2, number):
        if (number % i)==0:
            divisors.append(i)
    return sum(divisors)",1.0,0.0
"Write a function to find the specified number of largest products from two given lists, selecting one factor from each list.

def large_product(nums1, nums2, N):","import heapq
from itertools import product
def large_product(nums1, nums2, N):
    products = (a * b for (a, b) in product(nums1, nums2))
    largest_products = heapq.nlargest(N, products)
    return largest_products","The solution passed all test cases.
Correct Solution:def large_product(nums1, nums2, N):
    result = sorted([x*y for x in nums1 for y in nums2], reverse=True)[:N]
    return result",1.0,0.0
"Write a function to remove tuples from the given tuple.

def remove_nested(test_tup):","def remove_nested(test_tup):
    result = ()
    for element in test_tup:
        if isinstance(element, tuple):
            result += remove_nested(element)
        else:
            result += (element,)
    return result","Error: .
 Solution: def remove_nested(test_tup):
    result = ()
    for element in test_tup:
        if isinstance(element, tuple):
            result += remove_nested(element)
        else:
            result += (element,)
    return result.
 Test: def check():
    assert remove_nested((1, 5, 7, (4, 6), 10)) == (1, 5, 7, 10)
    assert remove_nested((2, 6, 8, (5, 7), 11)) == (2, 6, 8, 11)
    assert remove_nested((3, 7, 9, (6, 8), 12)) == (3, 7, 9, 12)
    assert remove_nested((3, 7, 9, (6, 8), (5,12), 12)) == (3, 7, 9, 12)

Correct Solution:def remove_nested(test_tup):
  res = tuple()
  for count, ele in enumerate(test_tup):
    if not isinstance(ele, tuple):
      res = res + (ele, )
  return (res) ",0.0,0.0
"Write a function to find the maximum absolute product between numbers in pairs of tuples within a given list.

def max_product_tuple(list1):","def max_product_tuple(list1):
    max_product = float('-inf')
    for (a, b) in list1:
        product = abs(a * b)
        if product > max_product:
            max_product = product
    return max_product","The solution passed all test cases.
Correct Solution:def max_product_tuple(list1):
    result_max = max([abs(x * y) for x, y in list1] )
    return result_max",1.0,0.0
"Write a python function to find whether the parity of a given number is odd.

def find_Parity(x): ","def find_Parity(x):
    return x % 2 != 0","The solution passed all test cases.
Correct Solution:def find_Parity(x): 
    y = x ^ (x >> 1); 
    y = y ^ (y >> 2); 
    y = y ^ (y >> 4); 
    y = y ^ (y >> 8); 
    y = y ^ (y >> 16); 
    if (y & 1): 
        return True
    return False",1.0,0.0
"Write a function to that rotate left bits by d bits a given number. We assume that the number is 32 bit.

def left_rotate(n,d):   ","def left_rotate(n, d):
    d %= 32
    return (n << d | n >> 32 - d) & 4294967295","The solution passed all test cases.
Correct Solution:def left_rotate(n,d):   
    INT_BITS = 32
    return (n << d)|(n >> (INT_BITS - d))  ",1.0,0.0
"Write a function to find the surface area of a sphere.
import math
def surfacearea_sphere(r):","import math
def surfacearea_sphere(r):
    return 4 * math.pi * r ** 2","The solution passed all test cases.
Correct Solution:import math
def surfacearea_sphere(r):
  surfacearea=4*math.pi*r*r
  return surfacearea",1.0,0.0
"Write a function to find the n'th star number.

def find_star_num(n): ","def find_star_num(n):
    return 6 * n * (n - 1) + 1","The solution passed all test cases.
Correct Solution:def find_star_num(n): 
	return (6 * n * (n - 1) + 1) ",1.0,0.0
"Write a function that takes as input a tuple of numbers (t_1,...,t_{N+1}) and returns a tuple of length N where the i-th element of the tuple is equal to t_i * t_{i+1}.

def multiply_elements(test_tup):","def multiply_elements(test_tup):
    return tuple((test_tup[i] * test_tup[i + 1] for i in range(len(test_tup) - 1)))","The solution passed all test cases.
Correct Solution:def multiply_elements(test_tup):
  res = tuple(i * j for i, j in zip(test_tup, test_tup[1:]))
  return (res) ",1.0,0.0
"Write a function to get the angle of a complex number.
import cmath
def angle_complex(a,b):","import cmath
import math
def angle_complex(a, b):
    z = complex(a, b)
    return cmath.phase(z)
def test_check():
    import math
    assert math.isclose(angle_complex(0, 1), 1.5707963267948966, rel_tol=0.001)","Error: .
 Solution: import cmath
import math
def angle_complex(a, b):
    z = complex(a, b)
    return cmath.phase(z).
 Test: def check():
    assert math.isclose(angle_complex(0,1j), 1.5707963267948966, rel_tol=0.001)
    assert math.isclose(angle_complex(2,1j), 0.4636476090008061, rel_tol=0.001)
    assert math.isclose(angle_complex(0,2j), 1.5707963267948966, rel_tol=0.001)

Correct Solution:import cmath
def angle_complex(a,b):
  cn=complex(a,b)
  angle=cmath.phase(a+b)
  return angle",0.0,0.0
"Write a python function to find the volume of a triangular prism.

def find_Volume(l,b,h) : ","def find_Volume(l, b, h):
    return l * b * h / 2","The solution passed all test cases.
Correct Solution:def find_Volume(l,b,h) : 
    return ((l * b * h) / 2) ",1.0,0.0
"Write a function to convert rgb color to hsv color. https://www.geeksforgeeks.org/program-change-rgb-color-model-hsv-color-model/

def rgb_to_hsv(r, g, b):","def rgb_to_hsv(r, g, b):
    (r, g, b) = (r / 255.0, g / 255.0, b / 255.0)
    max_c = max(r, g, b)
    min_c = min(r, g, b)
    delta = max_c - min_c
    v = max_c * 100
    if max_c == 0:
        s = 0.0
    else:
        s = delta / max_c * 100
    if delta == 0:
        h = 0.0
    elif max_c == r:
        h = (g - b) / delta % 6
    elif max_c == g:
        h = (b - r) / delta + 2
    elif max_c == b:
        h = (r - g) / delta + 4
    h = h * 60
    if h < 0:
        h += 360
    return (h, s, v)","The solution passed all test cases.
Correct Solution:def rgb_to_hsv(r, g, b):
    r, g, b = r/255.0, g/255.0, b/255.0
    mx = max(r, g, b)
    mn = min(r, g, b)
    df = mx-mn
    if mx == mn:
        h = 0
    elif mx == r:
        h = (60 * ((g-b)/df) + 360) % 360
    elif mx == g:
        h = (60 * ((b-r)/df) + 120) % 360
    elif mx == b:
        h = (60 * ((r-g)/df) + 240) % 360
    if mx == 0:
        s = 0
    else:
        s = (df/mx)*100
    v = mx*100
    return h, s, v",1.0,0.0
"Write a python function to interchange the first and last elements in a list.

def swap_List(newList): ","def swap_List(newList):
    if len(newList) < 2:
        return newList
    (newList[0], newList[-1]) = (newList[-1], newList[0])
    return newList","The solution passed all test cases.
Correct Solution:def swap_List(newList): 
    size = len(newList) 
    temp = newList[0] 
    newList[0] = newList[size - 1] 
    newList[size - 1] = temp  
    return newList ",1.0,0.0
"Write a function to find the median length of a trapezium.

def median_trapezium(base1,base2,height):","def median_trapezium(base1, base2, height):
    return (base1 + base2) / 2","The solution passed all test cases.
Correct Solution:def median_trapezium(base1,base2,height):
 median = 0.5 * (base1+ base2)
 return median",1.0,0.0
"Write a function to check if the given array represents min heap or not. https://www.geeksforgeeks.org/how-to-check-if-a-given-array-represents-a-binary-heap/

def check_min_heap(arr): ","def check_min_heap(arr):
    n = len(arr)
    for i in range(int((n - 2) / 2) + 1):
        left = 2 * i + 1
        right = 2 * i + 2
        if left < n and arr[i] > arr[left]:
            return False
        if right < n and arr[i] > arr[right]:
            return False
    return True","The solution passed all test cases.
Correct Solution:def check_min_heap_helper(arr, i):
    if 2 * i + 2 > len(arr):
        return True
    left_child = (arr[i] <= arr[2 * i + 1]) and check_min_heap_helper(arr, 2 * i + 1)
    right_child = (2 * i + 2 == len(arr)) or (arr[i] <= arr[2 * i + 2] 
                                      and check_min_heap_helper(arr, 2 * i + 2))
    return left_child and right_child

def check_min_heap(arr):
  return check_min_heap_helper(arr, 0)",1.0,0.0
"Write a function to find the kth element in the given array using 1-based indexing.

def kth_element(arr, k):","def kth_element(arr, k):
    if k < 1 or k > len(arr):
        return None
    return arr[k - 1]","The solution passed all test cases.
Correct Solution:def kth_element(arr, k):
  n = len(arr)
  for i in range(n):
    for j in range(0, n-i-1):
      if arr[j] > arr[j+1]:
        arr[j], arr[j+1] == arr[j+1], arr[j]
  return arr[k-1]",1.0,0.0
"Write a python function that takes in an integer n and returns the sum of the squares of the first n odd natural numbers.

def square_Sum(n):  ","def square_Sum(n):
    total = 0
    for i in range(1, 2 * n, 2):
        total += i ** 2
    return total","The solution passed all test cases.
Correct Solution:def square_Sum(n):  
    return int(n*(4*n*n-1)/3) ",1.0,0.0
"Write a python function to find the minimum of two numbers.

def minimum(a,b):   ","def minimum(a, b):
    return a if a < b else b","The solution passed all test cases.
Correct Solution:def minimum(a,b):   
    if a <= b: 
        return a 
    else: 
        return b ",1.0,0.0
"Write a function that takes in a list of tuples and returns a list containing the rear element of each tuple.

def rear_extract(test_list):","def rear_extract(test_list):
    return [t[-1] for t in test_list]","The solution passed all test cases.
Correct Solution:def rear_extract(test_list):
  res = [lis[-1] for lis in test_list]
  return (res) ",1.0,0.0
"Write a function to find nth polite number. geeksforgeeks.org/n-th-polite-number/
import math 
def is_polite(n): ","import math
def is_polite(n):
    count = 0
    num = 1
    while True:
        if not num & num - 1 == 0:
            count += 1
            if count == n:
                return num
        num += 1","The solution passed all test cases.
Correct Solution:import math 
def is_polite(n): 
	n = n + 1
	return (int)(n+(math.log((n + math.log(n, 2)), 2))) ",1.0,0.0
"Write a function to create a list of N empty dictionaries.

def empty_list(length):","def empty_list(length):
    return [{} for _ in range(length)]","The solution passed all test cases.
Correct Solution:def empty_list(length):
 empty_list = [{} for _ in range(length)]
 return empty_list",1.0,0.0
"Write a function to find numbers within a given range from startnum ti endnum where every number is divisible by every digit it contains. https://www.w3resource.com/python-exercises/lambda/python-lambda-exercise-24.php

def divisible_by_digits(startnum, endnum):","def divisible_by_digits(startnum, endnum):

    def is_divisible_by_digits(num):
        for digit in str(num):
            if digit == '0' or num % int(digit) != 0:
                return False
        return True
    result = list(filter(lambda x: is_divisible_by_digits(x), range(startnum, endnum + 1)))
    return result","The solution passed all test cases.
Correct Solution:def divisible_by_digits(startnum, endnum):
    return [n for n in range(startnum, endnum+1) \
                if not any(map(lambda x: int(x) == 0 or n%int(x) != 0, str(n)))]",1.0,0.0
"Write a python function that takes in a tuple and an element and counts the occcurences of the element in the tuple.

def count_X(tup, x): ","def count_X(tup, x):
    return tup.count(x)","The solution passed all test cases.
Correct Solution:def count_X(tup, x): 
    count = 0
    for ele in tup: 
        if (ele == x): 
            count = count + 1
    return count ",1.0,0.0
"Write a function to find the maximum product subarray of the given array.

def max_subarray_product(arr):","def max_subarray_product(arr):
    if not arr:
        return 0
    max_product = current_max = current_min = arr[0]
    for i in range(1, len(arr)):
        num = arr[i]
        if num < 0:
            (current_max, current_min) = (current_min, current_max)
        current_max = max(num, current_max * num)
        current_min = min(num, current_min * num)
        max_product = max(max_product, current_max)
    return max_product","The solution passed all test cases.
Correct Solution:def max_subarray_product(arr):
	n = len(arr)
	max_ending_here = 1
	min_ending_here = 1
	max_so_far = 0
	flag = 0
	for i in range(0, n):
		if arr[i] > 0:
			max_ending_here = max_ending_here * arr[i]
			min_ending_here = min (min_ending_here * arr[i], 1)
			flag = 1
		elif arr[i] == 0:
			max_ending_here = 1
			min_ending_here = 1
		else:
			temp = max_ending_here
			max_ending_here = max (min_ending_here * arr[i], 1)
			min_ending_here = temp * arr[i]
		if (max_so_far < max_ending_here):
			max_so_far = max_ending_here
	if flag == 0 and max_so_far == 0:
		return 0
	return max_so_far",1.0,0.0
"Write a python function to find even numbers from a list of numbers.

def Split(list): ","def Split(list):
    even_numbers = [num for num in list if num % 2 == 0]
    return even_numbers","The solution passed all test cases.
Correct Solution:def Split(list): 
    return [num for num in list if num % 2 == 0]",1.0,0.0
"Write a function to calculate the sum (n - 2*i) from i=0 to n // 2, for instance n + (n-2) + (n-4)... (until n-x =< 0).

def sum_series(n):","def sum_series(n):
    total = 0
    for i in range(0, n // 2 + 1):
        total += n - 2 * i
    return total","The solution passed all test cases.
Correct Solution:def sum_series(n):
  if n < 1:
    return 0
  else:
    return n + sum_series(n - 2)",1.0,0.0
"Write a function that returns the list in a list of lists whose sum of elements is the highest.

def max_sum_list(lists):","def max_sum_list(lists):
    if not lists:
        return []
    return max(lists, key=sum)","The solution passed all test cases.
Correct Solution:def max_sum_list(lists):
 return max(lists, key=sum)",1.0,0.0
"Write a function to calculate whether the matrix is a magic square.

def magic_square_test(my_matrix):","def magic_square_test(my_matrix):
    n = len(my_matrix)
    if n == 0 or any((len(row) != n for row in my_matrix)):
        return False
    total = sum(my_matrix[0])
    elements = set()
    for row in my_matrix:
        if sum(row) != total:
            return False
        for num in row:
            if num in elements:
                return False
            elements.add(num)
    for col in range(n):
        if sum((my_matrix[row][col] for row in range(n))) != total:
            return False
    if sum((my_matrix[i][i] for i in range(n))) != total:
        return False
    if sum((my_matrix[i][n - 1 - i] for i in range(n))) != total:
        return False
    return True","The solution passed all test cases.
Correct Solution:def magic_square_test(my_matrix):
    iSize = len(my_matrix[0])
    sum_list = []
    sum_list.extend([sum (lines) for lines in my_matrix])   
    for col in range(iSize):
        sum_list.append(sum(row[col] for row in my_matrix))
    result1 = 0
    for i in range(0,iSize):
        result1 +=my_matrix[i][i]
    sum_list.append(result1)      
    result2 = 0
    for i in range(iSize-1,-1,-1):
        result2 +=my_matrix[i][i]
    sum_list.append(result2)
    if len(set(sum_list))>1:
        return False
    return True",1.0,0.0
"Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.

def round_and_sum(list1):","def round_and_sum(list1):
    rounded_sum = sum((round(num) for num in list1))
    result = rounded_sum * len(list1)
    print(result)
    return result","The solution passed all test cases.
Correct Solution:def round_and_sum(list1):
  lenght=len(list1)
  round_and_sum=sum(list(map(round,list1))* lenght)
  return round_and_sum",1.0,0.0
"Write a function takes as input two lists [a_1,...,a_n], [b_1,...,b_n] and returns [a_1+b_1,...,a_n+b_n].

def sum_list(lst1,lst2):","def sum_list(lst1, lst2):
    return [a + b for (a, b) in zip(lst1, lst2)]","The solution passed all test cases.
Correct Solution:def sum_list(lst1,lst2):
  res_list = [lst1[i] + lst2[i] for i in range(len(lst1))] 
  return res_list",1.0,0.0
"Write a function which takes a tuple of tuples and returns the average value for each tuple as a list.

def average_tuple(nums):","def average_tuple(nums):
    return [sum(t) / len(t) for t in nums]","Error: .
 Solution: def average_tuple(nums):
    return [sum(t) / len(t) for t in nums].
 Test: def check():
    assert average_tuple(((10, 10, 10, 12), (30, 45, 56, 45), (81, 80, 39, 32), (1, 2, 3, 4)))==[30.5, 34.25, 27.0, 23.25]
    assert average_tuple(((1, 1, -5), (30, -15, 56), (81, -60, -39), (-10, 2, 3)))== [25.5, -18.0, 3.75]
    assert average_tuple( ((100, 100, 100, 120), (300, 450, 560, 450), (810, 800, 390, 320), (10, 20, 30, 40)))==[305.0, 342.5, 270.0, 232.5]

Correct Solution:def average_tuple(nums):
    result = [sum(x) / len(x) for x in zip(*nums)]
    return result",0.0,0.0
