inputs,prediction,expected_output,score,cost
"Write a python function to count the number of rotations required to generate a sorted array. https://www.geeksforgeeks.org/count-of-rotations-required-to-generate-a-sorted-array/

def count_rotation(arr):   ","def count_rotation(arr):
    n = len(arr)
    for i in range(1, n):
        if arr[i] < arr[i - 1]:
            return i
    return 0
def test_count_rotation():
    test_cases = [([5, 6, 7, 8, 1, 2, 3], 4), ([1, 2, 3, 4, 5], 0), ([2, 3, 4, 5, 1], 4), ([4, 5, 6, 7, 8, 9, 1, 2, 3], 6), ([10, 20, 30, 1], 3), ([1], 0), ([2, 1], 1)]
    for (i, (arr, expected)) in enumerate(test_cases):
        result = count_rotation(arr)
        assert result == expected, f'Test case {i + 1} failed: expected {expected}, got {result}'
        print(f'Test case {i + 1} passed.')","The solution passed all test cases.
Correct Solution:def count_rotation(arr):   
    for i in range (1,len(arr)): 
        if (arr[i] < arr[i - 1]): 
            return i  
    return 0",1.0,0.0
"Write a function to multiply two integers.

def multiply_int(x, y):","import unittest
def multiply_int(x, y):
    return x * y
class TestMultiplyInt(unittest.TestCase):

    def test_positive_numbers(self):
        self.assertEqual(multiply_int(3, 4), 12)

    def test_negative_numbers(self):
        self.assertEqual(multiply_int(-3, -4), 12)

    def test_mixed_sign(self):
        self.assertEqual(multiply_int(-3, 4), -12)
        self.assertEqual(multiply_int(3, -4), -12)

    def test_zero(self):
        self.assertEqual(multiply_int(0, 5), 0)
        self.assertEqual(multiply_int(5, 0), 0)
        self.assertEqual(multiply_int(0, 0), 0)","The solution passed all test cases.
Correct Solution:def multiply_int(x, y):
    if y < 0:
        return -multiply_int(x, -y)
    elif y == 0:
        return 0
    elif y == 1:
        return x
    else:
        return x + multiply_int(x, y - 1)",1.0,0.0
"Write a function to convert a given string to a tuple of characters.

def string_to_tuple(str1):","def string_to_tuple(str1):
    return tuple(str1)
def test_string_to_tuple():
    assert string_to_tuple('hello') == ('h', 'e', 'l', 'l', 'o'), 'Test case 1 failed'
    assert string_to_tuple('') == (), 'Test case 2 failed'
    assert string_to_tuple('a b c') == ('a', ' ', 'b', ' ', 'c'), 'Test case 3 failed'
    assert string_to_tuple('12345') == ('1', '2', '3', '4', '5'), 'Test case 4 failed'
    assert string_to_tuple('!@#$%') == ('!', '@', '#', '$', '%'), 'Test case 5 failed'
    assert string_to_tuple('python 3.0') == ('p', 'y', 't', 'h', 'o', 'n', ' ', '3', '.', '0'), 'Test case 6 failed'
    print('All test cases passed!')","Error: .
 Solution: def string_to_tuple(str1):
    return tuple(str1).
 Test: def check():
    assert string_to_tuple(""python 3.0"")==('p', 'y', 't', 'h', 'o', 'n', '3', '.', '0')
    assert string_to_tuple(""item1"")==('i', 't', 'e', 'm', '1')
    assert string_to_tuple(""15.10"")==('1', '5', '.', '1', '0')

Correct Solution:def string_to_tuple(str1):
    result = tuple(x for x in str1 if not x.isspace()) 
    return result",0.0,0.0
"Write a python function to check whether the given number can be represented as the difference of two squares or not.

def dif_Square(n): ","def dif_Square(n):
    for i in range(n + 1):
        for j in range(i + 1):
            if i * i - j * j == n:
                return True
    return False
def test_dif_Square():
    test_cases = [(3, True), (4, True), (5, True), (7, True), (8, True), (2, False), (0, True), (1, True), (15, True), (17, True), (19, True), (21, True), (23, True), (25, True), (27, True), (29, True), (31, True), (33, True), (35, True), (37, True), (39, True), (41, True), (43, True), (45, True), (47, True), (49, True), (51, True), (53, True), (55, True), (57, True), (59, True), (61, True), (63, True), (65, True), (67, True), (69, True), (71, True), (73, True), (75, True), (77, True), (79, True), (81, True), (83, True), (85, True), (87, True), (89, True), (91, True), (93, True), (95, True), (97, True), (99, True), (100, True)]
    for (n, expected) in test_cases:
        result = dif_Square(n)
        assert result == expected, f'Failed for {n}: expected {expected}, got {result}'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def dif_Square(n): 
    if (n % 4 != 2): 
        return True
    return False",1.0,0.0
"Write a function to locate the left insertion point for a specified value in sorted order. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-data-structure-exercise-24.php
import bisect
def left_insertion(a, x):","import bisect
def left_insertion(a, x):
    return bisect.bisect_left(a, x)
def test_left_insertion():
    a1 = [1, 3, 5, 7, 9]
    x1 = 5
    assert left_insertion(a1, x1) == 2, 'Test case 1 failed'
    a2 = [2, 4, 6, 8]
    x2 = 1
    assert left_insertion(a2, x2) == 0, 'Test case 2 failed'
    a3 = [10, 20, 30]
    x3 = 40
    assert left_insertion(a3, x3) == 3, 'Test case 3 failed'
    a4 = []
    x4 = 5
    assert left_insertion(a4, x4) == 0, 'Test case 4 failed'
    a5 = [1, 2, 2, 3, 3, 3]
    x5 = 2
    assert left_insertion(a5, x5) == 1, 'Test case 5 failed'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:import bisect
def left_insertion(a, x):
    i = bisect.bisect_left(a, x)
    return i",1.0,0.0
"Write a python function to find the length of the longest sublists.

def Find_Max_Length(lst):  ","def Find_Max_Length(lst):
    if not lst:
        return 0
    max_len = max((len(sublist) for sublist in lst))
    return max_len
def test_Find_Max_Length():
    test_cases = [([[1, 2], [3, 4, 5], [6]], 3), ([], 0), ([[]], 0), ([[1], [2, 3], [4, 5, 6]], 3), ([[1, 2, 3], [4], [5, 6]], 3), ([[1], [2], [3]], 1)]
    for (i, (input_data, expected)) in enumerate(test_cases):
        result = Find_Max_Length(input_data)
        assert result == expected, f'Test case {i + 1} failed: expected {expected}, got {result}'
        print(f'Test case {i + 1} passed.')","The solution passed all test cases.
Correct Solution:def Find_Max_Length(lst):  
    maxLength = max(len(x) for x in lst )
    return maxLength ",1.0,0.0
"Write a python function takes in an integer and check whether the frequency of each digit in the integer is less than or equal to the digit itself.

def validate(n): ","from collections import Counter
def validate(n):
    if n < 0:
        return False
    digits = str(n)
    freq = Counter(digits)
    for (digit, count) in freq.items():
        if int(digit) < count:
            return False
    return True
def test_validate():
    test_cases = [(123, True), (122, False), (111, False), (999, True), (0, True), (10, False), (121, False), (123456789, True), (112233, False), (987654321, True)]
    for (n, expected) in test_cases:
        result = validate(n)
        assert result == expected, f'Failed for {n}: expected {expected}, got {result}'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def validate(n): 
    for i in range(10): 
        temp = n;  
        count = 0; 
        while (temp): 
            if (temp % 10 == i): 
                count+=1;  
            if (count > i): 
                return False
            temp //= 10; 
    return True",1.0,0.0
"Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).

def sequential_search(dlist, item):","def sequential_search(dlist, item):
    for (index, value) in enumerate(dlist):
        if value == item:
            return (True, index)
    return (False, -1)
def test_sequential_search():
    test_list = [10, 20, 30, 40, 50]
    result = sequential_search(test_list, 30)
    assert result == (True, 2), f'Test 1 failed: expected (True, 2), got {result}'
    result = sequential_search(test_list, 60)
    assert result == (False, -1), f'Test 2 failed: expected (False, -1), got {result}'
    result = sequential_search(test_list, 10)
    assert result == (True, 0), f'Test 3 failed: expected (True, 0), got {result}'
    result = sequential_search(test_list, 50)
    assert result == (True, 4), f'Test 4 failed: expected (True, 4), got {result}'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def sequential_search(dlist, item):
    pos = 0
    found = False
    while pos < len(dlist) and not found:
        if dlist[pos] == item:
            found = True
        else:
            pos = pos + 1
    return found, pos",1.0,0.0
"Write a function to return the sum of all divisors of a number.

def sum_div(number):","def sum_div(number):
    if number <= 0:
        return 0
    total = 0
    i = 1
    while i * i <= number:
        if number % i == 0:
            total += i
            if i != number // i:
                total += number // i
        i += 1
    return total - number
def test_sum_div():
    assert sum_div(0) == 0
    assert sum_div(-5) == 0
    assert sum_div(1) == 0
    assert sum_div(6) == 6
    assert sum_div(28) == 28
    assert sum_div(12) == 16
    assert sum_div(7) == 1
    assert sum_div(8) == 7
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def sum_div(number):
    divisors = [1]
    for i in range(2, number):
        if (number % i)==0:
            divisors.append(i)
    return sum(divisors)",1.0,0.0
"Write a function to find the specified number of largest products from two given lists, selecting one factor from each list.

def large_product(nums1, nums2, N):","import heapq
from itertools import product
def large_product(nums1, nums2, N):
    products = (a * b for (a, b) in product(nums1, nums2))
    largest_products = heapq.nlargest(N, products)
    return largest_products
def test_large_product():
    nums1 = [1, 2]
    nums2 = [3, 4]
    N = 2
    assert large_product(nums1, nums2, N) == [8, 6], 'Test case 1 failed'
    nums1 = [-10, -3, 5, 2]
    nums2 = [-1, 2, 4]
    N = 3
    assert large_product(nums1, nums2, N) == [40, 20, 10], 'Test case 2 failed'
    nums1 = [1, 2]
    nums2 = [3]
    N = 5
    assert large_product(nums1, nums2, N) == [6, 3], 'Test case 3 failed'
    nums1 = []
    nums2 = [1, 2]
    N = 2
    assert large_product(nums1, nums2, N) == [], 'Test case 4 failed'
    nums1 = [1, 2]
    nums2 = [3, 4]
    N = 0
    assert large_product(nums1, nums2, N) == [], 'Test case 5 failed'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def large_product(nums1, nums2, N):
    result = sorted([x*y for x in nums1 for y in nums2], reverse=True)[:N]
    return result",1.0,0.0
