inputs,prediction,expected_output,score,cost
"Write a python function to count the number of rotations required to generate a sorted array. https://www.geeksforgeeks.org/count-of-rotations-required-to-generate-a-sorted-array/

def count_rotation(arr):   ","def count_rotation(arr):
    n = len(arr)
    for i in range(1, n):
        if arr[i] < arr[i - 1]:
            return i
    return 0
def test_count_rotation():
    test_cases = [([1, 2, 3, 4, 5], 0), ([2, 3, 4, 5, 1], 4), ([3, 4, 5, 1, 2], 3), ([4, 5, 6, 7, 0, 1, 2], 4), ([5, 0, 1, 2, 3, 4], 1), ([1], 0), ([1, 2], 0), ([2, 1], 1), ([5, 6, 7, 8, 9, 10, 1], 6)]
    for (i, (arr, expected)) in enumerate(test_cases):
        result = count_rotation(arr)
        assert result == expected, f'Test case {i + 1} failed: expected {expected}, got {result}'
        print(f'Test case {i + 1} passed.')","The solution passed all test cases.
Correct Solution:def count_rotation(arr):   
    for i in range (1,len(arr)): 
        if (arr[i] < arr[i - 1]): 
            return i  
    return 0",1.0,0.0
"Write a function to multiply two integers.

def multiply_int(x, y):","def multiply_int(x, y):
    return x * y
def test_multiply_int():
    assert multiply_int(3, 4) == 12, 'Test case 1 failed'
    assert multiply_int(-3, 4) == -12, 'Test case 2 failed'
    assert multiply_int(-3, -4) == 12, 'Test case 3 failed'
    assert multiply_int(0, 5) == 0, 'Test case 4 failed'
    assert multiply_int(0, 0) == 0, 'Test case 5 failed'
    assert multiply_int(1000000, 2) == 2000000, 'Test case 6 failed'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def multiply_int(x, y):
    if y < 0:
        return -multiply_int(x, -y)
    elif y == 0:
        return 0
    elif y == 1:
        return x
    else:
        return x + multiply_int(x, y - 1)",1.0,0.0
"Write a function to convert a given string to a tuple of characters.

def string_to_tuple(str1):","def string_to_tuple(str1):
    return tuple(str1)
def test_string_to_tuple():
    assert string_to_tuple('hello') == ('h', 'e', 'l', 'l', 'o'), 'Test case 1 failed'
    assert string_to_tuple('') == (), 'Test case 2 failed'
    assert string_to_tuple('123') == ('1', '2', '3'), 'Test case 3 failed'
    assert string_to_tuple('A') == ('A',), 'Test case 4 failed'
    assert string_to_tuple('python 3.0') == ('p', 'y', 't', 'h', 'o', 'n', ' ', '3', '.', '0'), 'Test case 5 failed'
    print('All test cases passed!')","Error: .
 Solution: def string_to_tuple(str1):
    return tuple(str1).
 Test: def check():
    assert string_to_tuple(""python 3.0"")==('p', 'y', 't', 'h', 'o', 'n', '3', '.', '0')
    assert string_to_tuple(""item1"")==('i', 't', 'e', 'm', '1')
    assert string_to_tuple(""15.10"")==('1', '5', '.', '1', '0')

Correct Solution:def string_to_tuple(str1):
    result = tuple(x for x in str1 if not x.isspace()) 
    return result",0.0,0.0
"Write a python function to check whether the given number can be represented as the difference of two squares or not.

def dif_Square(n): ","Error code: 400 - {'error': {'message': ""This model's maximum context length is 16000 tokens. However, your request has 16098 input tokens. Please reduce the length of the input messages. (parameter=input_tokens, value=16098) None"", 'type': 'BadRequestError', 'param': None, 'code': 400}}","
Correct Solution:
def def dif_Square(n): 
    if (n % 4 != 2): 
        return True
    return False",0.0,0.0
"Write a function to locate the left insertion point for a specified value in sorted order. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-data-structure-exercise-24.php
import bisect
def left_insertion(a, x):","import bisect
def left_insertion(a, x):
    return bisect.bisect_left(a, x)
def test_left_insertion():
    assert left_insertion([], 5) == 0
    assert left_insertion([10, 20, 30], 5) == 0
    assert left_insertion([10, 20, 30], 25) == 2
    assert left_insertion([10, 20, 30], 35) == 3
    assert left_insertion([10, 20, 20, 30], 20) == 1
    assert left_insertion([10, 20, 20, 20, 30], 20) == 1
    assert left_insertion([5], 3) == 0
    assert left_insertion([5], 5) == 0
    assert left_insertion([5], 7) == 1
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:import bisect
def left_insertion(a, x):
    i = bisect.bisect_left(a, x)
    return i",1.0,0.0
"Write a python function to find the length of the longest sublists.

def Find_Max_Length(lst):  ","def Find_Max_Length(lst):
    if not lst:
        return 0
    max_len = max((len(sublist) for sublist in lst))
    return max_len
def test_Find_Max_Length():
    assert Find_Max_Length([[1, 2], [3, 4, 5], [6]]) == 3
    assert Find_Max_Length([[1], [2], [3]]) == 1
    assert Find_Max_Length([]) == 0
    assert Find_Max_Length([[1, 2, 3, 4], [5, 6], [7, 8, 9]]) == 4
    assert Find_Max_Length([[], [1], [1, 2]]) == 2
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def Find_Max_Length(lst):  
    maxLength = max(len(x) for x in lst )
    return maxLength ",1.0,0.0
"Write a python function takes in an integer and check whether the frequency of each digit in the integer is less than or equal to the digit itself.

def validate(n): ","def validate(n):
    if n < 0:
        return False
    freq = {}
    for digit in str(n):
        freq[digit] = freq.get(digit, 0) + 1
    for (digit, count) in freq.items():
        if int(digit) < count:
            return False
    return True
def test_validate():
    test_cases = [(1211, False), (122, True), (0, False), (111, False), (123, True), (112233, True), (-123, False), (999999999, True), (111222333, True), (111222334, False)]
    for (i, (n, expected)) in enumerate(test_cases):
        result = validate(n)
        assert result == expected, f'Test case {i + 1} failed: validate({n}) = {result}, expected {expected}'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def validate(n): 
    for i in range(10): 
        temp = n;  
        count = 0; 
        while (temp): 
            if (temp % 10 == i): 
                count+=1;  
            if (count > i): 
                return False
            temp //= 10; 
    return True",1.0,0.0
"Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).

def sequential_search(dlist, item):","def sequential_search(dlist, item):
    for (index, value) in enumerate(dlist):
        if value == item:
            return (True, index)
    return (False, -1)
def test_sequential_search():
    assert sequential_search([10, 20, 30, 40, 50], 30) == (True, 2)
    assert sequential_search([10, 20, 30, 40, 50], 10) == (True, 0)
    assert sequential_search([10, 20, 30, 40, 50], 50) == (True, 4)
    assert sequential_search([10, 20, 30, 40, 50], 60) == (False, -1)
    assert sequential_search([], 10) == (False, -1)
    assert sequential_search([10, 20, 10, 30], 10) == (True, 0)
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def sequential_search(dlist, item):
    pos = 0
    found = False
    while pos < len(dlist) and not found:
        if dlist[pos] == item:
            found = True
        else:
            pos = pos + 1
    return found, pos",1.0,0.0
"Write a function to return the sum of all divisors of a number.

def sum_div(number):","def sum_div(number):
    if number <= 0:
        return 0
    total = 0
    i = 1
    while i * i <= number:
        if number % i == 0:
            total += i
            if i != number // i:
                total += number // i
        i += 1
    return total - number
def test_sum_div():
    test_cases = [(0, 0), (1, 1), (2, 3), (3, 4), (4, 7), (6, 12), (8, 7), (12, 28), (28, 56), (100, 217)]
    for (number, expected) in test_cases:
        result = sum_div(number)
        assert result == expected, f'Failed for {number}: expected {expected}, got {result}'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def sum_div(number):
    divisors = [1]
    for i in range(2, number):
        if (number % i)==0:
            divisors.append(i)
    return sum(divisors)",1.0,0.0
"Write a function to find the specified number of largest products from two given lists, selecting one factor from each list.

def large_product(nums1, nums2, N):","import heapq
from itertools import product
def large_product(nums1, nums2, N):
    """"""
    Returns the N largest products from the pairwise multiplication of elements in nums1 and nums2.
    
    Parameters:
    - nums1 (list of int/float): First list of numbers.
    - nums2 (list of int/float): Second list of numbers.
    - N (int): Number of largest products to return.

    Returns:
    - list of int/float: The N largest products.
    """"""
    if not nums1 or not nums2 or N <= 0:
        return []
    products = (a * b for (a, b) in product(nums1, nums2))
    largest_products = heapq.nlargest(N, products)
    return largest_products
def test_large_product():
    nums1 = [1, 2]
    nums2 = [3, 4]
    N = 2
    assert large_product(nums1, nums2, N) == [8, 6], 'Test case 1 failed'
    nums1 = [-1, -2]
    nums2 = [-3, -4]
    N = 2
    assert large_product(nums1, nums2, N) == [12, 8], 'Test case 2 failed'
    nums1 = [1, 2]
    nums2 = [3, 4]
    N = 5
    assert large_product(nums1, nums2, N) == [8, 6, 4, 3, 2], 'Test case 3 failed'
    nums1 = []
    nums2 = [1, 2]
    N = 2
    assert large_product(nums1, nums2, N) == [], 'Test case 4 failed'
    nums1 = [1, 2]
    nums2 = [3, 4]
    N = 0
    assert large_product(nums1, nums2, N) == [], 'Test case 5 failed'
    nums1 = [-1, 2]
    nums2 = [-3, 4]
    N = 3
    assert large_product(nums1, nums2, N) == [8, 6, -3], 'Test case 6 failed'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def large_product(nums1, nums2, N):
    result = sorted([x*y for x in nums1 for y in nums2], reverse=True)[:N]
    return result",1.0,0.0
"Write a function to remove tuples from the given tuple.

def remove_nested(test_tup):","def remove_nested(test_tup):
    result = ()
    for element in test_tup:
        if isinstance(element, tuple):
            result += remove_nested(element)
        else:
            result += (element,)
    return result
def test_remove_nested():
    assert remove_nested((1, (2, 3), (4, (5, 6)))) == (1, 2, 3, 4, 5, 6)
    assert remove_nested((('a', 'b'), ('c', ('d', 'e')))) == ('a', 'b', 'c', 'd', 'e')
    assert remove_nested((1,)) == (1,)
    assert remove_nested(()) == ()
    assert remove_nested((1, 2, 3)) == (1, 2, 3)
    assert remove_nested((1, (2, (3, (4, (5,)))))) == (1, 2, 3, 4, 5)
    assert remove_nested((1, 5, 7, (4, 6), 10)) == (1, 5, 7, 4, 6, 10)
    print('All tests passed!')","Error: .
 Solution: def remove_nested(test_tup):
    result = ()
    for element in test_tup:
        if isinstance(element, tuple):
            result += remove_nested(element)
        else:
            result += (element,)
    return result.
 Test: def check():
    assert remove_nested((1, 5, 7, (4, 6), 10)) == (1, 5, 7, 10)
    assert remove_nested((2, 6, 8, (5, 7), 11)) == (2, 6, 8, 11)
    assert remove_nested((3, 7, 9, (6, 8), 12)) == (3, 7, 9, 12)
    assert remove_nested((3, 7, 9, (6, 8), (5,12), 12)) == (3, 7, 9, 12)

Correct Solution:def remove_nested(test_tup):
  res = tuple()
  for count, ele in enumerate(test_tup):
    if not isinstance(ele, tuple):
      res = res + (ele, )
  return (res) ",0.0,0.0
"Write a function to find the maximum absolute product between numbers in pairs of tuples within a given list.

def max_product_tuple(list1):","def max_product_tuple(list1):
    max_product = float('-inf')
    for (a, b) in list1:
        product = abs(a * b)
        if product > max_product:
            max_product = product
    return max_product
def test_max_product_tuple():
    assert max_product_tuple([(1, 2), (3, 4), (5, -6)]) == 30
    assert max_product_tuple([(-1, -2), (-3, -4), (-5, -6)]) == 30
    assert max_product_tuple([(0, 10), (2, 3), (4, 5)]) == 20
    assert max_product_tuple([(2, 3), (3, 2), (1, 6)]) == 6
    assert max_product_tuple([(100, 200)]) == 20000
    assert max_product_tuple([]) == float('-inf')
    assert max_product_tuple([(1, -10), (-2, 5), (3, -4)]) == 50
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def max_product_tuple(list1):
    result_max = max([abs(x * y) for x, y in list1] )
    return result_max",1.0,0.0
"Write a python function to find whether the parity of a given number is odd.

def find_Parity(x): ","def find_Parity(x):
    return x % 2 != 0
def test_find_Parity():
    test_cases = [(1, True), (2, False), (0, False), (-1, True), (-2, False), (100, False), (101, True)]
    for (i, (input_val, expected)) in enumerate(test_cases):
        result = find_Parity(input_val)
        assert result == expected, f'Test case {i + 1} failed: find_Parity({input_val}) = {result}, expected {expected}'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def find_Parity(x): 
    y = x ^ (x >> 1); 
    y = y ^ (y >> 2); 
    y = y ^ (y >> 4); 
    y = y ^ (y >> 8); 
    y = y ^ (y >> 16); 
    if (y & 1): 
        return True
    return False",1.0,0.0
"Write a function to that rotate left bits by d bits a given number. We assume that the number is 32 bit.

def left_rotate(n,d):   ","def left_rotate(n, d):
    d %= 32
    return (n << d | n >> 32 - d) & 4294967295
def test_left_rotate():
    test_cases = [(305419896, 0, 305419896), (305419896, 1, 610839792), (305419896, 4, 591751041), (305419896, 8, 878082066), (305419896, 16, 1450709556), (305419896, 31, 2147483649), (4294967295, 1, 4294967295), (1, 1, 2), (1, 31, 2147483648), (2147483648, 1, 1)]
    for (n, d, expected) in test_cases:
        result = left_rotate(n, d)
        assert result == expected, f'Failed: left_rotate({hex(n)}, {d}) = {hex(result)}, expected {hex(expected)}'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def left_rotate(n,d):   
    INT_BITS = 32
    return (n << d)|(n >> (INT_BITS - d))  ",1.0,0.0
"Write a function to find the surface area of a sphere.
import math
def surfacearea_sphere(r):","import math
def surfacearea_sphere(r):
    """"""
    Calculate the surface area of a sphere given its radius r.
    
    Parameters:
    r (float): Radius of the sphere (must be non-negative)

    Returns:
    float: Surface area of the sphere
    """"""
    return 4 * math.pi * r ** 2
def test_surfacearea_sphere():
    """"""
    Test the surfacearea_sphere function with known values.
    """"""
    assert abs(surfacearea_sphere(0) - 0) < 1e-09, 'Test case 1 failed'
    expected = 4 * math.pi * 1 ** 2
    assert abs(surfacearea_sphere(1) - expected) < 1e-09, 'Test case 2 failed'
    expected = 4 * math.pi * 2 ** 2
    assert abs(surfacearea_sphere(2) - expected) < 1e-09, 'Test case 3 failed'
    expected = 4 * math.pi * 3.5 ** 2
    assert abs(surfacearea_sphere(3.5) - expected) < 1e-09, 'Test case 4 failed'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:import math
def surfacearea_sphere(r):
  surfacearea=4*math.pi*r*r
  return surfacearea",1.0,0.0
"Write a function to find the n'th star number.

def find_star_num(n): ","def find_star_num(n):
    return 6 * n * (n - 1) + 1
def test_find_star_num():
    test_cases = {1: 1, 2: 13, 3: 37, 4: 73, 5: 121, 10: 541}
    for (n, expected) in test_cases.items():
        result = find_star_num(n)
        assert result == expected, f'Test failed for n={n}: expected {expected}, got {result}'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def find_star_num(n): 
	return (6 * n * (n - 1) + 1) ",1.0,0.0
"Write a function that takes as input a tuple of numbers (t_1,...,t_{N+1}) and returns a tuple of length N where the i-th element of the tuple is equal to t_i * t_{i+1}.

def multiply_elements(test_tup):","def multiply_elements(test_tup):
    return tuple((test_tup[i] * test_tup[i + 1] for i in range(len(test_tup) - 1)))
def test_multiply_elements():
    assert multiply_elements((2, 3, 4)) == (6, 12)
    assert multiply_elements(()) == ()
    assert multiply_elements((5,)) == ()
    assert multiply_elements((-2, 3, -4)) == (-6, -12)
    assert multiply_elements((0, 5, 0, 2)) == (0, 0, 0)
    assert multiply_elements((1.5, 2.0, 3.0)) == (3.0, 6.0)
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def multiply_elements(test_tup):
  res = tuple(i * j for i, j in zip(test_tup, test_tup[1:]))
  return (res) ",1.0,0.0
