inputs,prediction,expected_output,score,cost
"Write a python function to count the number of rotations required to generate a sorted array. https://www.geeksforgeeks.org/count-of-rotations-required-to-generate-a-sorted-array/

def count_rotation(arr):   ","def count_rotation(arr):
    n = len(arr)
    for i in range(1, n):
        if arr[i] < arr[i - 1]:
            return i
    return 0
def test_count_rotation():
    test_cases = [([1, 2, 3, 4, 5], 0), ([2, 3, 4, 5, 1], 4), ([4, 5, 6, 7, 0, 1, 2], 4), ([5, 0, 1, 2, 3, 4], 1), ([1], 0), ([1, 2], 0), ([2, 1], 1)]
    for (i, (arr, expected)) in enumerate(test_cases):
        result = count_rotation(arr)
        assert result == expected, f'Test case {i + 1} failed: expected {expected}, got {result}'
        print(f'Test case {i + 1} passed.')","The solution passed all test cases.
Correct Solution:def count_rotation(arr):   
    for i in range (1,len(arr)): 
        if (arr[i] < arr[i - 1]): 
            return i  
    return 0",1.0,0.0
"Write a function to multiply two integers.

def multiply_int(x, y):","def multiply_int(x, y):
    return x * y
def test_multiply_int():
    assert multiply_int(3, 4) == 12
    assert multiply_int(-2, 5) == -10
    assert multiply_int(0, 100) == 0
    assert multiply_int(-3, -3) == 9
    assert multiply_int(0, 0) == 0
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def multiply_int(x, y):
    if y < 0:
        return -multiply_int(x, -y)
    elif y == 0:
        return 0
    elif y == 1:
        return x
    else:
        return x + multiply_int(x, y - 1)",1.0,0.0
"Write a function to convert a given string to a tuple of characters.

def string_to_tuple(str1):","def string_to_tuple(str1):
    return tuple(str1)
def test_string_to_tuple():
    assert string_to_tuple('hello') == ('h', 'e', 'l', 'l', 'o'), 'Test 1 Failed'
    assert string_to_tuple('') == (), 'Test 2 Failed'
    assert string_to_tuple('123') == ('1', '2', '3'), 'Test 3 Failed'
    assert string_to_tuple('A') == ('A',), 'Test 4 Failed'
    assert string_to_tuple('python 3.0') == ('p', 'y', 't', 'h', 'o', 'n', ' ', '3', '.', '0'), 'Test 5 Failed'
    print('All tests passed!')","Error: .
 Solution: def string_to_tuple(str1):
    return tuple(str1).
 Test: def check():
    assert string_to_tuple(""python 3.0"")==('p', 'y', 't', 'h', 'o', 'n', '3', '.', '0')
    assert string_to_tuple(""item1"")==('i', 't', 'e', 'm', '1')
    assert string_to_tuple(""15.10"")==('1', '5', '.', '1', '0')

Correct Solution:def string_to_tuple(str1):
    result = tuple(x for x in str1 if not x.isspace()) 
    return result",0.0,0.0
"Write a python function to check whether the given number can be represented as the difference of two squares or not.

def dif_Square(n): ","def dif_Square(n):
    for i in range(n + 1):
        for j in range(i + 1):
            if i * i - j * j == n:
                return True
    return False
def test_dif_Square():
    test_cases = [(3, True), (4, True), (5, True), (7, True), (8, True), (2, False), (0, True), (1, True), (15, True), (17, True), (19, True), (21, True), (23, True), (25, True), (27, True), (29, True), (31, True), (33, True), (35, True), (37, True), (39, True), (41, True), (43, True), (45, True), (47, True), (49, True), (51, True), (53, True), (55, True), (57, True), (59, True), (61, True), (63, True), (65, True), (67, True), (69, True), (71, True), (73, True), (75, True), (77, True), (79, True), (81, True), (83, True), (85, True), (87, True), (89, True), (91, True), (93, True), (95, True), (97, True), (99, True), (100, True)]
    for (n, expected) in test_cases:
        result = dif_Square(n)
        assert result == expected, f'Failed for n={n}: expected {expected}, got {result}'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def dif_Square(n): 
    if (n % 4 != 2): 
        return True
    return False",1.0,0.0
"Write a function to locate the left insertion point for a specified value in sorted order. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-data-structure-exercise-24.php
import bisect
def left_insertion(a, x):","import bisect
def left_insertion(a, x):
    return bisect.bisect_left(a, x)
def test_left_insertion():
    test_list = [1, 3, 4, 7, 9]
    test_values = [0, 2, 4, 6, 9, 10]
    for val in test_values:
        pos = left_insertion(test_list, val)
        print(f'Insert {val} into {test_list} at position {pos}')","The solution passed all test cases.
Correct Solution:import bisect
def left_insertion(a, x):
    i = bisect.bisect_left(a, x)
    return i",1.0,0.0
"Write a python function to find the length of the longest sublists.

def Find_Max_Length(lst):  ","def find_max_length(lst):
    if not lst:
        return 0
    max_len = max((len(sublist) for sublist in lst))
    return max_len","Error: Function Find_Max_Length is not defined in the solution..
 Solution: .
 Test: def check():
    assert Find_Max_Length([[1],[1,4],[5,6,7,8]]) == 4
    assert Find_Max_Length([[0,1],[2,2,],[3,2,1]]) == 3
    assert Find_Max_Length([[7],[22,23],[13,14,15],[10,20,30,40,50]]) == 5

Correct Solution:def Find_Max_Length(lst):  
    maxLength = max(len(x) for x in lst )
    return maxLength ",0.0,0.0
"Write a python function takes in an integer and check whether the frequency of each digit in the integer is less than or equal to the digit itself.

def validate(n): ","from collections import Counter
def validate(n):
    if not isinstance(n, int) or n < 0:
        return False
    digits = str(n)
    freq = Counter(digits)
    for (digit, count) in freq.items():
        if int(digit) < count:
            return False
    return True","The solution passed all test cases.
Correct Solution:def validate(n): 
    for i in range(10): 
        temp = n;  
        count = 0; 
        while (temp): 
            if (temp % 10 == i): 
                count+=1;  
            if (count > i): 
                return False
            temp //= 10; 
    return True",1.0,0.0
"Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).

def sequential_search(dlist, item):","def sequential_search(dlist, item):
    for (index, value) in enumerate(dlist):
        if value == item:
            return (True, index)
    return (False, -1)
def test_sequential_search():
    test_list = [10, 20, 30, 40, 50]
    result = sequential_search(test_list, 30)
    assert result == (True, 2), f'Expected (True, 2), got {result}'
    result = sequential_search(test_list, 60)
    assert result == (False, -1), f'Expected (False, -1), got {result}'
    result = sequential_search(test_list, 10)
    assert result == (True, 0), f'Expected (True, 0), got {result}'
    result = sequential_search(test_list, 50)
    assert result == (True, 4), f'Expected (True, 4), got {result}'
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def sequential_search(dlist, item):
    pos = 0
    found = False
    while pos < len(dlist) and not found:
        if dlist[pos] == item:
            found = True
        else:
            pos = pos + 1
    return found, pos",1.0,0.0
"Write a function to return the sum of all divisors of a number.

def sum_div(number):","def sum_div(number):
    """"""
    Calculate the sum of all divisors of a given number, including the number itself.
    
    Parameters:
        number (int): A positive integer
    
    Returns:
        int: Sum of all divisors of the number
    """"""
    if number <= 0:
        return 0
    total = 0
    i = 1
    while i * i <= number:
        if number % i == 0:
            total += i
            if i != number // i:
                total += number // i
        i += 1
    return total
def test_sum_div():
    """"""
    Test the sum_div function with known values.
    """"""
    assert sum_div(0) == 0
    assert sum_div(1) == 1
    assert sum_div(6) == 12
    assert sum_div(28) == 56
    assert sum_div(12) == 28
    assert sum_div(100) == 217
    assert sum_div(8) == 15
    print('All tests passed!')","Error: .
 Solution: def sum_div(number):
    """"""
    Calculate the sum of all divisors of a given number, including the number itself.
    
    Parameters:
        number (int): A positive integer
    
    Returns:
        int: Sum of all divisors of the number
    """"""
    if number <= 0:
        return 0
    total = 0
    i = 1
    while i * i <= number:
        if number % i == 0:
            total += i
            if i != number // i:
                total += number // i
        i += 1
    return total.
 Test: def check():
    assert sum_div(8)==7
    assert sum_div(12)==16
    assert sum_div(7)==1

Correct Solution:def sum_div(number):
    divisors = [1]
    for i in range(2, number):
        if (number % i)==0:
            divisors.append(i)
    return sum(divisors)",0.0,0.0
"Write a function to find the specified number of largest products from two given lists, selecting one factor from each list.

def large_product(nums1, nums2, N):","import heapq
from itertools import product
def large_product(nums1, nums2, N):
    products = (a * b for (a, b) in product(nums1, nums2))
    largest_products = heapq.nlargest(N, products)
    return largest_products
def test_large_product():
    nums1 = [1, 2]
    nums2 = [3, 4]
    N = 2
    assert large_product(nums1, nums2, N) == [8, 6]
    nums1 = [-10, -3, 5, 2]
    nums2 = [-1, 2, 4]
    N = 3
    assert large_product(nums1, nums2, N) == [40, 30, 20]
    nums1 = [1, 2]
    nums2 = [3]
    N = 5
    assert large_product(nums1, nums2, N) == [6, 3]
    nums1 = []
    nums2 = [1, 2]
    N = 2
    assert large_product(nums1, nums2, N) == []
    nums1 = [5]
    nums2 = []
    N = 1
    assert large_product(nums1, nums2, N) == []
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def large_product(nums1, nums2, N):
    result = sorted([x*y for x in nums1 for y in nums2], reverse=True)[:N]
    return result",1.0,0.0
"Write a function to remove tuples from the given tuple.

def remove_nested(test_tup):","def remove_nested(test_tup):
    result = ()
    for element in test_tup:
        if isinstance(element, tuple):
            result += remove_nested(element)
        else:
            result += (element,)
    return result
def test_remove_nested():
    input_tuple = (1, (2, (3, 4), 5), 6)
    expected_output = (1, 2, 3, 4, 5, 6)
    assert remove_nested(input_tuple) == expected_output, 'Test case 1 failed'
    input_tuple = (1, 2, 3)
    expected_output = (1, 2, 3)
    assert remove_nested(input_tuple) == expected_output, 'Test case 2 failed'
    input_tuple = (((1, 2), (3, (4, 5))),)
    expected_output = (1, 2, 3, 4, 5)
    assert remove_nested(input_tuple) == expected_output, 'Test case 3 failed'
    input_tuple = ()
    expected_output = ()
    assert remove_nested(input_tuple) == expected_output, 'Test case 4 failed'
    input_tuple = (1, 5, 7, (4, 6), 10)
    expected_output = (1, 5, 7, 4, 6, 10)
    assert remove_nested(input_tuple) == expected_output, 'Test case 5 failed'
    print('All test cases passed!')","Error: .
 Solution: def remove_nested(test_tup):
    result = ()
    for element in test_tup:
        if isinstance(element, tuple):
            result += remove_nested(element)
        else:
            result += (element,)
    return result.
 Test: def check():
    assert remove_nested((1, 5, 7, (4, 6), 10)) == (1, 5, 7, 10)
    assert remove_nested((2, 6, 8, (5, 7), 11)) == (2, 6, 8, 11)
    assert remove_nested((3, 7, 9, (6, 8), 12)) == (3, 7, 9, 12)
    assert remove_nested((3, 7, 9, (6, 8), (5,12), 12)) == (3, 7, 9, 12)

Correct Solution:def remove_nested(test_tup):
  res = tuple()
  for count, ele in enumerate(test_tup):
    if not isinstance(ele, tuple):
      res = res + (ele, )
  return (res) ",0.0,0.0
"Write a function to find the maximum absolute product between numbers in pairs of tuples within a given list.

def max_product_tuple(list1):","import unittest
def max_product_tuple(list1):
    max_product = float('-inf')
    for (a, b) in list1:
        product = abs(a * b)
        if product > max_product:
            max_product = product
    return max_product
class TestMaxProductTuple(unittest.TestCase):

    def test_max_product_tuple(self):
        self.assertEqual(max_product_tuple([(1, 2), (3, 4), (5, -6)]), 30)
        self.assertEqual(max_product_tuple([(-1, -2), (0, 0), (3, 3)]), 9)
        self.assertEqual(max_product_tuple([(0, 5), (-1, -1), (2, 3)]), 15)
        self.assertEqual(max_product_tuple([(-10, -20), (1, 1)]), 200)
        self.assertEqual(max_product_tuple([]), float('-inf'))","The solution passed all test cases.
Correct Solution:def max_product_tuple(list1):
    result_max = max([abs(x * y) for x, y in list1] )
    return result_max",1.0,0.0
"Write a python function to find whether the parity of a given number is odd.

def find_Parity(x): ","def find_Parity(x):
    return x % 2 != 0
def test_find_Parity():
    assert find_Parity(2) == False
    assert find_Parity(3) == True
    assert find_Parity(0) == False
    assert find_Parity(-1) == True
    assert find_Parity(-2) == False
    print('All test cases passed!')","The solution passed all test cases.
Correct Solution:def find_Parity(x): 
    y = x ^ (x >> 1); 
    y = y ^ (y >> 2); 
    y = y ^ (y >> 4); 
    y = y ^ (y >> 8); 
    y = y ^ (y >> 16); 
    if (y & 1): 
        return True
    return False",1.0,0.0
